;name;bus0;bus1;model;x;r;g;b;s_nom
0;transformator_3;3_380;3_220;t;116;0,004;0;0;2000
1;transformator_4;4_380;4_220;t;116;0,004;0;0;2000
2;transformator_7;7_380;7_220;t;116;0,004;0;0;2000
3;transformator_9;9_380;9_220;t;116;0,004;0;0;2000
4;transformator_12;12_380;12_220;t;116;0,004;0;0;2000
5;transformator_14;14_380;14_220;t;116;0,004;0;0;2000
6;transformator_15;15_380;15_220;t;116;0,004;0;0;2000
7;transformator_17;17_380;17_220;t;116;0,004;0;0;2000
8;transformator_18;18_380;18_220;t;116;0,004;0;0;2000
9;transformator_21;21_380;21_220;t;116;0,004;0;0;2000
10;transformator_22;22_380;22_220;t;116;0,004;0;0;2000
11;transformator_23;23_380;23_220;t;116;0,004;0;0;2000
12;transformator_24;24_380;24_220;t;116;0,004;0;0;2000
13;transformator_25;25_380;25_220;t;116;0,004;0;0;2000
14;transformator_26;26_380;26_220;t;116;0,004;0;0;2000
15;transformator_27;27_380;27_220;t;116;0,004;0;0;2000
16;transformator_28;28_380;28_220;t;116;0,004;0;0;2000
17;transformator_31;31_380;31_220;t;116;0,004;0;0;2000
18;transformator_32;32_380;32_220;t;116;0,004;0;0;2000
19;transformator_33;33_380;33_220;t;116;0,004;0;0;2000
20;transformator_34;34_380;34_220;t;116;0,004;0;0;2000
21;transformator_37;37_380;37_220;t;116;0,004;0;0;2000
22;transformator_38;38_380;38_220;t;116;0,004;0;0;2000
23;transformator_39;39_380;39_220;t;116;0,004;0;0;2000
24;transformator_40;40_380;40_220;t;116;0,004;0;0;2000
25;transformator_41;41_380;41_220;t;116;0,004;0;0;2000
26;transformator_44;44_380;44_220;t;116;0,004;0;0;2000
27;transformator_45;45_380;45_220;t;116;0,004;0;0;2000
28;transformator_46;46_380;46_220;t;116;0,004;0;0;2000
29;transformator_47;47_380;47_220;t;116;0,004;0;0;2000
30;transformator_48;48_380;48_220;t;116;0,004;0;0;2000
31;transformator_49;49_380;49_220;t;116;0,004;0;0;2000
32;transformator_50;50_380;50_220;t;116;0,004;0;0;2000
33;transformator_53;53_380;53_220;t;116;0,004;0;0;2000
34;transformator_54;54_380;54_220;t;116;0,004;0;0;2000
35;transformator_56;56_380;56_220;t;116;0,004;0;0;2000
36;transformator_57;57_380;57_220;t;116;0,004;0;0;2000
37;transformator_58;58_380;58_220;t;116;0,004;0;0;2000
38;transformator_59;59_380;59_220;t;116;0,004;0;0;2000
39;transformator_63;63_380;63_220;t;116;0,004;0;0;2000
40;transformator_65;65_380;65_220;t;116;0,004;0;0;2000
41;transformator_66;66_380;66_220;t;116;0,004;0;0;2000
42;transformator_68;68_380;68_220;t;116;0,004;0;0;2000
43;transformator_69;69_380;69_220;t;116;0,004;0;0;2000
44;transformator_70;70_380;70_220;t;116;0,004;0;0;2000
45;transformator_71;71_380;71_220;t;116;0,004;0;0;2000
46;transformator_73;73_380;73_220;t;116;0,004;0;0;2000
47;transformator_74;74_380;74_220;t;116;0,004;0;0;2000
48;transformator_76;76_380;76_220;t;116;0,004;0;0;2000
49;transformator_78;78_380;78_220;t;116;0,004;0;0;2000
50;transformator_79;79_380;79_220;t;116;0,004;0;0;2000
51;transformator_84;84_380;84_220;t;116;0,004;0;0;2000
52;transformator_85;85_380;85_220;t;116;0,004;0;0;2000
53;transformator_86;86_380;86_220;t;116;0,004;0;0;2000
54;transformator_87;87_380;87_220;t;116;0,004;0;0;2000
55;transformator_88;88_380;88_220;t;116;0,004;0;0;2000
56;transformator_89;89_380;89_220;t;116;0,004;0;0;2000
57;transformator_90;90_380;90_220;t;116;0,004;0;0;2000
58;transformator_92;92_380;92_220;t;116;0,004;0;0;2000
59;transformator_94;94_380;94_220;t;116;0,004;0;0;2000
60;transformator_95;95_380;95_220;t;116;0,004;0;0;2000
61;transformator_96;96_380;96_220;t;116;0,004;0;0;2000
62;transformator_97;97_380;97_220;t;116;0,004;0;0;2000
63;transformator_99;99_380;99_220;t;116;0,004;0;0;2000
